Price,Adj Close,Close,High,Low,Open,Volume,log_ret,sigma20
Ticker,^GSPC,^GSPC,^GSPC,^GSPC,^GSPC,^GSPC,,
Date,,,,,,,,
2017-03-16,2381.3798828125,2381.3798828125,2388.10009765625,2377.179931640625,2387.7099609375,3368880000,-0.0016280347991832755,0.06926937383812942
2017-03-17,2378.25,2378.25,2385.7099609375,2377.639892578125,2383.7099609375,5179820000,-0.0013151792642318583,0.06941332501479272
2017-03-20,2373.469970703125,2373.469970703125,2379.550048828125,2369.659912109375,2378.239990234375,3061560000,-0.002011916080379983,0.06990166686803861
2017-03-21,2344.02001953125,2344.02001953125,2381.929931640625,2341.89990234375,2379.320068359375,4278890000,-0.012485594590102345,0.07997927422692142
2017-03-22,2348.449951171875,2348.449951171875,2351.81005859375,2336.449951171875,2343.0,3575160000,0.0018881028474631023,0.08034442038913008
2017-03-23,2345.9599609375,2345.9599609375,2358.919921875,2342.1298828125,2345.969970703125,3262400000,-0.001060832144830215,0.08033953693432347
2017-03-24,2343.97998046875,2343.97998046875,2356.219970703125,2335.739990234375,2350.419921875,2978530000,-0.0008443522139387483,0.0800600404171935
2017-03-27,2341.590087890625,2341.590087890625,2344.89990234375,2322.25,2329.110107421875,3242300000,-0.0010201075858455866,0.07988493512123988
2017-03-28,2358.570068359375,2358.570068359375,2363.780029296875,2337.6298828125,2339.7900390625,3369120000,0.007225308829624133,0.0839197839647296
2017-03-29,2361.1298828125,2361.1298828125,2363.360107421875,2352.93994140625,2356.5400390625,3107670000,0.0010847362038299835,0.06783143513585367
2017-03-30,2368.06005859375,2368.06005859375,2370.419921875,2358.580078125,2361.31005859375,3159680000,0.002930810911704995,0.0662401944154958
2017-03-31,2362.719970703125,2362.719970703125,2370.35009765625,2362.60009765625,2364.820068359375,3356740000,-0.0022575939382667443,0.06651072540539771
2017-04-03,2358.840087890625,2358.840087890625,2365.8701171875,2344.72998046875,2362.340087890625,3418730000,-0.0016434753080130093,0.06586349354039221
2017-04-04,2360.159912109375,2360.159912109375,2360.530029296875,2350.719970703125,2354.760009765625,3208340000,0.0005593660746612272,0.0652499099766547
2017-04-05,2352.949951171875,2352.949951171875,2378.360107421875,2350.52001953125,2366.590087890625,3780650000,-0.0030595368115227117,0.06561888734739159
2017-04-06,2357.489990234375,2357.489990234375,2364.159912109375,2348.89990234375,2353.7900390625,3203250000,0.0019276502937355389,0.06595336861369476
2017-04-07,2355.5400390625,2355.5400390625,2363.760009765625,2350.739990234375,2356.590087890625,3054700000,-0.0008274724629453445,0.06478918355061232
2017-04-10,2357.159912109375,2357.159912109375,2366.3701171875,2351.5,2357.159912109375,2792570000,0.0006874501357838625,0.06484406433410975
2017-04-11,2353.780029296875,2353.780029296875,2355.219970703125,2337.25,2353.919921875,3120900000,-0.001434908291958692,0.064038185078961
2017-04-12,2344.929931640625,2344.929931640625,2352.719970703125,2341.179931640625,2352.14990234375,3201300000,-0.003767037418986874,0.056881685777648266
2017-04-13,2328.949951171875,2328.949951171875,2348.260009765625,2328.949951171875,2341.97998046875,3146380000,-0.006838020289804625,0.06051647135346952
2017-04-17,2349.010009765625,2349.010009765625,2349.139892578125,2332.510009765625,2332.6201171875,2826890000,0.008576465691107593,0.06915980732447656
2017-04-18,2342.18994140625,2342.18994140625,2348.35009765625,2334.5400390625,2342.530029296875,3272210000,-0.002907602845833246,0.06945597225032747
2017-04-19,2338.169921875,2338.169921875,2352.6298828125,2335.050048828125,2346.7900390625,3521160000,-0.0017178253968683777,0.054809189596048365
2017-04-20,2355.840087890625,2355.840087890625,2361.3701171875,2340.909912109375,2342.68994140625,3648990000,0.0075288503629735715,0.0605892507947017
2017-04-21,2348.68994140625,2348.68994140625,2356.179931640625,2344.510009765625,2354.739990234375,3524160000,-0.0030396881071155235,0.061470845135826346
2017-04-24,2374.14990234375,2374.14990234375,2376.97998046875,2369.18994140625,2370.330078125,3711170000,0.01078173658811199,0.07163929135609351
2017-04-25,2388.610107421875,2388.610107421875,2392.47998046875,2381.14990234375,2381.510009765625,4005820000,0.006072214211751081,0.07374065018494057
2017-04-26,2387.449951171875,2387.449951171875,2398.159912109375,2386.780029296875,2388.97998046875,4111350000,-0.00048582147568687617,0.07027503784180664
2017-04-27,2388.77001953125,2388.77001953125,2392.10009765625,2382.679931640625,2389.699951171875,4099940000,0.0005527670002987151,0.07025371381721536
2017-04-28,2384.199951171875,2384.199951171875,2393.679931640625,2382.360107421875,2393.679931640625,3721350000,-0.001914979471489886,0.07021272934790801
2017-05-01,2388.330078125,2388.330078125,2394.489990234375,2384.830078125,2388.5,3201500000,0.0017307918268940625,0.06970794134133936
2017-05-02,2391.169921875,2391.169921875,2392.929931640625,2385.820068359375,2391.050048828125,3861360000,0.0011883435858113245,0.06927797735058298
2017-05-03,2388.1298828125,2388.1298828125,2389.820068359375,2379.75,2386.5,3896760000,-0.001272169395827305,0.06960739189262391
2017-05-04,2389.52001953125,2389.52001953125,2391.429931640625,2380.35009765625,2389.7900390625,4367860000,0.000581933287869596,0.06833082144413156
2017-05-05,2399.2900390625,2399.2900390625,2399.2900390625,2389.3798828125,2392.3701171875,3543240000,0.004080359407478085,0.06919039692430244
2017-05-08,2399.3798828125,2399.3798828125,2401.360107421875,2393.919921875,2399.93994140625,3429990000,3.744527190807645e-05,0.06898605985648416
2017-05-09,2396.919921875,2396.919921875,2403.8701171875,2392.43994140625,2401.580078125,3657840000,-0.001025774556793202,0.0693133248879103
2017-05-10,2399.6298828125,2399.6298828125,2399.739990234375,2392.7900390625,2396.7900390625,3649370000,0.001129962717449473,0.06882063600812303
2017-05-11,2394.43994140625,2394.43994140625,2395.719970703125,2381.739990234375,2394.840087890625,3727710000,-0.0021651513741067774,0.06764607170823832
2017-05-12,2390.89990234375,2390.89990234375,2392.43994140625,2387.18994140625,2392.43994140625,3304620000,-0.0014795353407937029,0.06209071758339266
2017-05-15,2402.320068359375,2402.320068359375,2404.050048828125,2393.93994140625,2393.97998046875,3490080000,0.004765142303014613,0.05771894562604216
2017-05-16,2400.669921875,2400.669921875,2405.77001953125,2396.050048828125,2404.550048828125,3421810000,-0.0006871330369859763,0.05625843937558071
2017-05-17,2357.030029296875,2357.030029296875,2384.8701171875,2356.2099609375,2382.949951171875,4164760000,-0.018345468171115265,0.08781193130647928
2017-05-18,2365.719970703125,2365.719970703125,2375.739990234375,2352.719970703125,2354.68994140625,4319440000,0.00368003862721622,0.08483506081790793
2017-05-19,2381.72998046875,2381.72998046875,2389.06005859375,2370.429931640625,2371.3701171875,3831700000,0.00674470320820042,0.08684380969782132
2017-05-22,2394.02001953125,2394.02001953125,2395.4599609375,2386.919921875,2387.2099609375,3176580000,0.005146863296008775,0.0805611848495873
2017-05-23,2398.419921875,2398.419921875,2400.85009765625,2393.8798828125,2397.0400390625,3216560000,0.001836185172380489,0.07811006263040499
2017-05-24,2404.389892578125,2404.389892578125,2405.580078125,2397.989990234375,2401.409912109375,3389240000,0.0024860338045762376,0.0784548881687
2017-05-25,2415.070068359375,2415.070068359375,2418.7099609375,2408.010009765625,2409.5400390625,3538210000,0.004432112041977909,0.07971692608283432
2017-05-26,2415.820068359375,2415.820068359375,2416.679931640625,2412.199951171875,2414.5,2806930000,0.00031050178530289685,0.07922103677132797
2017-05-30,2412.909912109375,2412.909912109375,2415.260009765625,2409.429931640625,2411.669921875,3205860000,-0.0012053507295339827,0.07937156099389854
2017-05-31,2411.800048828125,2411.800048828125,2415.989990234375,2403.590087890625,2415.6298828125,4518040000,-0.00046007461995145604,0.07939945321417992
2017-06-01,2430.06005859375,2430.06005859375,2430.06005859375,2413.5400390625,2415.64990234375,3860620000,0.007542595584847156,0.08280302447936323
2017-06-02,2439.070068359375,2439.070068359375,2440.22998046875,2427.7099609375,2431.280029296875,3465500000,0.00370087461804669,0.08336738043475506
2017-06-05,2436.10009765625,2436.10009765625,2439.550048828125,2434.320068359375,2437.830078125,2916720000,-0.0012184071404286456,0.08293602679858676
2017-06-06,2429.330078125,2429.330078125,2436.2099609375,2428.1201171875,2431.919921875,3376750000,-0.0027829086662043423,0.08381553306283829
